,name,vicinity,price_level_x,rating_x,types,user_ratings_total,lat,lng,categories,attributes,hours,url,cuisine,type_place,foods,types2
0,Blue Talon Bistro,"420 Prince George Street, Williamsburg",3.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1479.0,37.2720392,-76.7067197,"['French', 'American', 'Bars']",{'menu_url': 'https://www.bluetalonbistro.com/menus'},"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '1030', 'day': 6}, {'is_overnight': False, 'start': '1130', 'end': '1500', 'day': 6}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/blue-talon-bistro-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,"['American', 'French']",['Bars'],[],[]
1,King's Arms Tavern,"416 East Duke of Gloucester Street, Williamsburg",3.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1771.0,37.2712789,-76.6954215,"['Southern', 'American', 'Bars']",{'menu_url': 'https://www.colonialwilliamsburghotels.com/content/uploads/2023/10/2023-KAT-Fall-Lunch-Menu.pdf'},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 6}, {'is_overnight': False, 'start': '1630', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/kings-arms-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,"['Southern', 'American']",['Bars'],[],[]
2,Chowning's Tavern,"109 East Duke of Gloucester Street, Williamsburg",2.0,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1890.0,37.2714667,-76.6991949,"['Barbeque', 'American', 'Bars']","{'menu_url': 'https://www.colonialwilliamsburghotels.com/dining/chownings-tavern/', 'waitlist_reservation': False}","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/chownings-tavern-williamsburg-2?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Barbeque'],['bar']
3,Berret's Seafood Restaurant and Taphouse Grill,"199 South Boundary Street, Williamsburg",2.0,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2493.0,37.2698254,-76.7069361,"['Seafood', 'American', 'Bars']",{'menu_url': 'https://berrets.com/our-menus/'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/berrets-seafood-restaurant-and-taphouse-grill-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],['Seafood'],['bar']
4,Fat Canary,"410 West Duke of Gloucester Street, Williamsburg",4.0,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",627.0,37.2706514,-76.70611170000001,"['American', 'Bars']",{'menu_url': 'http://www.fatcanarywilliamsburg.com/menu/'},"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/fat-canary-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Bars'],[],['bar']
5,Green Leafe Cafe,"765 Scotland Street, Williamsburg",2.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",611.0,37.2741165,-76.7125473,"['Pubs', 'American']",{'menu_url': 'http://www.greenleafe.com/menu.html'},"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/green-leafe-cafe-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],['Pubs'],[],[]
6,Shields Tavern,"422 East Duke of Gloucester Street, Williamsburg",2.0,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",716.0,37.27129139999999,-76.6949578,['American'],{},"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '1900', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/shields-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],[],['bar']
7,Paul's Deli Restaurant,"761 Scotland Street, Williamsburg",2.0,4.1,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",897.0,37.274042,-76.712447,"['American', 'Bars', 'Delis']",{'menu_url': ''},"[{'open': [{'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/pauls-deli-downtown-williamsburg-3?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],"['Delis', 'Bars']",[],"['store', 'bar']"
8,DoG Street Pub,"401 West Duke of Gloucester Street, Williamsburg",2.0,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2196.0,37.2711628,-76.7059891,"['British', 'Pubs', 'Bars']",{'menu_url': 'http://www.dogstreetpub.com/menus/4566758045'},"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/dog-street-pub-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['British'],"['Pubs', 'Bars']",[],['bar']
9,Christiana Campbell's Tavern,"101 South Waller Street, Williamsburg",3.0,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",737.0,37.271653,-76.6914125,"['American', 'Seafood']",{'menu_url': 'https://www.colonialwilliamsburghotels.com/dining/christiana-campbells-tavern/'},"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",https://www.yelp.com/biz/christiana-campbells-tavern-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,['American'],[],['Seafood'],['bar']
10,Domino's Pizza,"1220 Richmond Road, Williamsburg",1.0,3.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",302.0,37.2798474,-76.7183742,"['Pizza', 'Chicken', 'Sandwiches']",{},"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",https://www.yelp.com/biz/dominos-pizza-williamsburg?adjust_creative=gWRAXvcIYqdmUToY7skTmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=gWRAXvcIYqdmUToY7skTmA,[],[],"['Pizza', 'Chicken', 'Sandwiches']",['delivery']
